品种,波动率分级,波动率1Y,趋势强度,流动性,置信度,警告数
CZCE.AP,High,0.2534,Strong,Low,0.90,0
CZCE.CF,Low,0.1015,Strong,Low,0.96,0
CZCE.FG,High,0.3776,Weak,High,0.96,0
CZCE.MA,High,0.3809,Weak,High,0.86,1
CZCE.OI,Medium,0.1645,Strong,Low,0.93,0
CZCE.PF,High,0.2741,Weak,Low,0.86,0
CZCE.RM,Medium,0.2078,Strong,Low,0.94,0
CZCE.SA,High,0.2944,Medium,High,0.95,0
CZCE.SR,Low,0.0767,Strong,Low,0.96,0
CZCE.TA,High,0.3347,Weak,High,0.87,0
CZCE.UR,Medium,0.2517,Strong,Low,0.84,1
DCE.a,Medium,0.1336,Strong,Low,0.91,0
DCE.c,Low,0.1009,Strong,High,0.96,0
DCE.cs,Low,0.1142,Medium,Low,0.95,0
DCE.eb,High,0.3448,Weak,High,0.86,1
DCE.eg,High,0.3460,Weak,Low,0.87,1
DCE.i,Medium,0.1913,Medium,Low,0.95,0
DCE.j,High,0.3224,Strong,Low,0.96,0
DCE.jd,High,0.3388,Weak,Low,0.95,0
DCE.jm,High,0.4353,Strong,High,0.95,0
DCE.l,High,0.2649,Weak,High,0.85,1
DCE.lh,High,0.2314,Strong,Low,0.89,0
DCE.m,Medium,0.1654,Strong,High,0.92,0
DCE.p,Medium,0.2027,Strong,High,0.91,0
DCE.pg,High,0.4628,Weak,Low,0.79,1
DCE.pp,High,0.2732,Weak,High,0.85,1
DCE.v,High,0.2524,Medium,High,0.89,0
DCE.y,Medium,0.1458,Strong,Low,0.91,0
INE.sc,High,0.4666,Weak,Low,0.91,0
SHFE.ag,High,0.5218,Strong,Low,0.91,0
SHFE.al,Medium,0.1776,Weak,Low,0.89,0
SHFE.au,High,0.2521,Strong,Low,0.82,2
SHFE.bu,High,0.2937,Strong,Low,0.89,0
SHFE.cu,Medium,0.1767,Weak,Low,0.89,1
SHFE.fu,High,0.4979,Strong,Low,0.88,0
SHFE.hc,Low,0.1223,Strong,Low,0.93,0
SHFE.ni,High,0.2542,Strong,Low,0.93,0
SHFE.rb,Low,0.1310,Strong,Low,0.90,1
SHFE.ru,Medium,0.2370,Strong,Low,0.88,1
SHFE.sp,Medium,0.1905,Medium,Low,0.91,1
SHFE.ss,Medium,0.1455,Medium,Low,0.92,0
SHFE.zn,Medium,0.1576,Medium,Low,0.92,1
